,arrondissement,date,type,N,farleft,left,green,center,right,other,ville,winner,last_winner,year_weights,unemployment,samplesize_agg,farleft_agg,left_agg,green_agg,center_agg,right_agg,farright_agg
91,11,2007-04-22,president,19499,906,7958,595,4068,5030,942,Paris,left,left,0.2722362669478566,7.8,1513,-2.63351296555521,-0.4324714392782514,-3.9502918780659027,-0.670962786309274,-0.2960176026127672,-0.9461532400623693
92,11,2007-06-10,legislative,14298,1217,5488,889,1810,4229,665,Paris,left,left,0.2722362669478566,7.8,916,-1.613135945523584,-0.28853817369371426,-2.2951767368762024,-1.196553430863514,0.1162376443170684,-1.7636493519802587
93,11,2008-03-09,municipale,14151,804,7791,1121,1224,2803,408,Paris,left,left,0.3008927161002625,6.6,755,-2.3276546987829665,0.19057191236032223,-1.8491380552083743,-1.5134815663541654,-0.11655320044379769,-2.8248338718628325
94,11,2009-06-07,european,13526,1424,2426,4711,1030,2677,1258,Paris,green,left,0.3325656335845007,7.9,2287,-1.040641480829017,-0.6288864289719569,-1.0135388837505506,-1.19207447463799,-0.29965487302050486,-1.8548714106803819
95,11,2010-03-14,regional,14206,1556,4483,3728,543,2632,1264,Paris,left,green,0.3675725423828692,8.2,907,-1.319981255799886,-0.2403008779059621,-0.9962625668515876,-2.0610176835632794,-0.2402655599832586,-1.398708792643046
96,11,2012-04-22,president,30902,4357,13033,1682,2772,6894,2164,Paris,left,left,0.4490290614704856,8.4,1400,-0.9889638060602763,-0.2863751573707789,-2.6770683489131937,-1.2659110865416285,-0.31738744341143543,-0.8412144998462749
97,11,2012-06-10,legislative,23118,2552,5334,7180,739,4842,2471,Paris,green,left,0.4490290614704856,8.4,1193,-1.5290008836950246,-0.13596366714241226,-1.981708248920527,-2.584479231256795,-0.08819342308216305,-0.8800245688086845
98,11,2014-03-23,municipale,25156,1579,11258,2908,0,6749,2662,Paris,left,green,0.5485368867271029,8.7,977,-1.8840554436518735,0.03765666148579505,-1.7272552074949048,-22.2439383888495,-0.005214582082804009,-1.4963371210752463
99,11,2014-05-25,european,23552,1751,5628,4406,2579,3534,5654,Paris,left,left,0.5485368867271029,8.8,3248,-1.5827882550901022,-0.7904110418566443,-1.4209282848105143,-1.3344191269666519,-0.5372290126730876,-0.46040373047644567
100,11,2015-12-06,regional,25613,2330,10257,3767,0,5447,3812,Paris,left,left,0.6062776116457453,8.7,1749,-1.9435699891302733,-0.47376649482350364,-1.8369089203280056,-22.2439383888495,-0.26895471180111286,-0.2419683523841174
101,11,2017-04-23,president,55722,13240,7589,0,21620,8988,4285,Paris,center,left,0.7406327610409243,8.0,1555,-0.6673183652556716,-1.5655958235178558,-22.2439383888495,-0.43769375517613285,-0.6408167165680942,-0.49316283495631974
102,11,2017-06-11,legislative,38733,5589,3348,4506,16604,2614,6072,Paris,center,center,0.7406327610409243,8.0,1299,-1.1449843722357924,-1.5282244889268495,-2.51004468238414,-0.19153864802341292,-0.5603779757129361,-0.7477761604771764
103,11,2019-05-25,european,47460,2873,5018,12170,13588,2765,11046,Paris,center,center,0.9047619047619048,7.2,2221,-1.4773483532977911,-1.976607759987969,-1.4906652084970866,-0.4825625032586274,-0.945211261964745,-0.4026757439577906
104,12,2007-04-22,president,20127,863,6466,563,4514,6450,1271,Paris,left,left,0.2722362669478566,7.8,1513,-2.63351296555521,-0.4324714392782514,-3.9502918780659027,-0.670962786309274,-0.2960176026127672,-0.9461532400623693
105,12,2007-06-10,legislative,15210,931,5200,673,1914,5506,986,Paris,right,left,0.2722362669478566,7.8,916,-1.613135945523584,-0.28853817369371426,-2.2951767368762024,-1.196553430863514,0.1162376443170684,-1.7636493519802587
106,12,2008-03-09,municipale,15991,699,7368,940,1591,3888,1505,Paris,left,right,0.3008927161002625,6.6,755,-2.3276546987829665,0.19057191236032223,-1.8491380552083743,-1.5134815663541654,-0.11655320044379769,-2.8248338718628325
107,12,2009-06-07,european,14336,1342,2311,4018,1291,3759,1615,Paris,green,left,0.3325656335845007,7.9,2287,-1.040641480829017,-0.6288864289719569,-1.0135388837505506,-1.19207447463799,-0.29965487302050486,-1.8548714106803819
108,12,2010-03-14,regional,15114,1413,4369,3194,656,3704,1778,Paris,left,green,0.3675725423828692,8.2,907,-1.319981255799886,-0.2403008779059621,-0.9962625668515876,-2.0610176835632794,-0.2402655599832586,-1.398708792643046
109,12,2012-04-22,president,31482,3667,11586,1372,3220,8699,2938,Paris,left,left,0.4490290614704856,8.4,1400,-0.9889638060602763,-0.2863751573707789,-2.6770683489131937,-1.2659110865416285,-0.31738744341143543,-0.8412144998462749
110,12,2012-06-10,legislative,24112,1810,10344,1571,799,6232,3356,Paris,left,left,0.4490290614704856,8.4,1193,-1.5290008836950246,-0.13596366714241226,-1.981708248920527,-2.584479231256795,-0.08819342308216305,-0.8800245688086845
111,12,2014-03-23,municipale,27260,1469,10195,2743,0,9089,3764,Paris,left,left,0.5485368867271029,8.7,977,-1.8840554436518735,0.03765666148579505,-1.7272552074949048,-22.2439383888495,-0.005214582082804009,-1.4963371210752463
112,12,2014-05-25,european,24708,1597,5166,3494,3120,4728,6603,Paris,left,left,0.5485368867271029,8.8,3248,-1.5827882550901022,-0.7904110418566443,-1.4209282848105143,-1.3344191269666519,-0.5372290126730876,-0.46040373047644567
113,12,2015-12-06,regional,26840,1905,9136,3078,0,7654,5067,Paris,left,left,0.6062776116457453,8.7,1749,-1.9435699891302733,-0.47376649482350364,-1.8369089203280056,-22.2439383888495,-0.26895471180111286,-0.2419683523841174
114,12,2017-04-23,president,55584,11563,6380,0,19954,11789,5898,Paris,center,left,0.7406327610409243,8.0,1555,-0.6673183652556716,-1.5655958235178558,-22.2439383888495,-0.43769375517613285,-0.6408167165680942,-0.49316283495631974
115,12,2017-06-11,legislative,38950,5003,5884,2594,15673,5764,4032,Paris,center,center,0.7406327610409243,8.0,1299,-1.1449843722357924,-1.5282244889268495,-2.51004468238414,-0.19153864802341292,-0.5603779757129361,-0.7477761604771764
116,12,2019-05-25,european,46856,2579,4474,9828,14285,3658,12032,Paris,center,center,0.9047619047619048,7.2,2221,-1.4773483532977911,-1.976607759987969,-1.4906652084970866,-0.4825625032586274,-0.945211261964745,-0.4026757439577906
117,13,2007-04-22,president,24543,1291,9149,717,5263,6514,1609,Paris,left,left,0.2722362669478566,7.8,1513,-2.63351296555521,-0.4324714392782514,-3.9502918780659027,-0.670962786309274,-0.2960176026127672,-0.9461532400623693
118,13,2007-06-10,legislative,17888,1517,6951,766,1999,5723,932,Paris,left,left,0.2722362669478566,7.8,916,-1.613135945523584,-0.28853817369371426,-2.2951767368762024,-1.196553430863514,0.1162376443170684,-1.7636493519802587
119,13,2008-03-09,municipale,17704,1387,8823,1146,1601,3779,968,Paris,left,left,0.3008927161002625,6.6,755,-2.3276546987829665,0.19057191236032223,-1.8491380552083743,-1.5134815663541654,-0.11655320044379769,-2.8248338718628325
